"","Treatment 1","Treatment 2","Distance"
"1","08425017 Berghülen","08425084 Nellingen",0.84
"2","08425050 Griesingen","08425073 Lauterach",1.32
"3","08425005 Altheim (Alb)","08425079 Merklingen",1.56
"4","08425130 Weidenstetten","08425090 Obermarchtal",1.68
"5","08425091 Oberstadion","08425097 Rammingen",1.69
"6","08425004 Altheim","08425036 Emerkingen",1.73
"7","08425083 Neenstetten","08425013 Ballendorf",1.99
"8","08425124 Unterstadion","08425055 Hausen am Bussen",2.11
"9","08425112 Setzingen","08425011 Asselfingen",2.3
"10","08425024 Breitingen","08425085 Nerenstetten",2.88
"11","08425062 Holzkirch","08425092 Öllingen",2.94
"12","08425022 Börslingen","08425052 Grundsheim",6.42
"13","08425098 Rechtenstein","08425125 Unterwachingen",7.79
"14","08425123 Untermarchtal","08425035 Emeringen",12.12
