"","Treatment 1","Treatment 2","Distance"
"1","08327004 Bärenthal","08327033 Mahlstetten",1.45
"2","08327017 Frittlingen","08327009 Deilingen",1.54
"3","08327048 Talheim","08327023 Hausen ob Verena",1.6
"4","08327006 Böttingen","08327029 Königsheim",1.61
"5","08327007 Bubsheim","08327013 Egesheim",1.68
"6","08327011 Dürbheim","08327030 Kolbingen",1.74
"7","08327008 Buchheim","08327041 Renquishausen",2.13
"8","08327040 Reichenbach am Heuberg","08327020 Gunningen",2.21
"9","08327012 Durchhausen","08327027 Irndorf",3.09
"10","08327005 Balgheim",NA,NA
