"community_ID";"community_long_ID";"community_name";"electoral_district";"population";"eligible_voters_2011";"voters_2011";"turnout_2011";"green_percent_2011";"proportion_male";"proportion_female";"proportion_german";"proportion_under18";"proportion_18to64";"proportion_over65"
8111000;"08111000 Stuttgart, Landeshauptstadt";"Stuttgart, Landeshauptstadt";"Stuttgart I";"585890";367689;268815;0,731093396865286;0,344956460131875;0,489998122514465;0,510001877485535;0,790510164023964;0,154752598610661;0,658705559063988;0,186541842325351
8115001;"08115001 Aidlingen";"Aidlingen";"Leonberg";"8731";6531;4840;0,741080998315725;0,209724540901502;0,488832894284733;0,511052571297675;0,915588134234337;0,183942274653533;0,621349215439239;0,194593975489635
8115002;"08115002 Altdorf";"Altdorf";"Boeblingen";"4542";3217;2474;0,769039477774324;0,246341463414634;0,492734478203435;0,507045354469397;0,936591809775429;0,239762219286658;0,616468516072215;0,143549097313959
8115003;"08115003 Böblingen, Stadt";"Böblingen, Stadt";"Boeblingen";"44859";31552;20370;0,645600912778905;0,215598830583222;0,484518156891594;0,515481843108406;0,837847477652199;0,164916739115896;0,617980784235048;0,217102476649056
8115004;"08115004 Bondorf";"Bondorf";"Leonberg";"5716";3946;2907;0,736695387734415;0,228113010115103;0,496501049685094;0,503498950314906;0,896606018194542;0,222358292512246;0,634359692092372;0,143282015395381
8115010;"08115010 Deckenpfronn";"Deckenpfronn";"Leonberg";"3208";2372;1752;0,738617200674536;0,245797101449275;0,485037406483791;0,514962593516209;0,946384039900249;0,200436408977556;0,645261845386534;0,15430174563591
8115013;"08115013 Ehningen";"Ehningen";"Boeblingen";"7820";5588;4220;0,755189692197566;0,195772279606053;0,493350383631714;0,506521739130435;0,893606138107417;0,18849104859335;0,632608695652174;0,178772378516624
8115015;"08115015 Gärtringen";"Gärtringen";"Boeblingen";"11521";8362;6147;0,735111217412102;0,206346596514305;0,486763301796719;0,513236698203281;0,894540404478778;0,194601163093481;0,627636489888031;0,177762347018488
8115016;"08115016 Gäufelden";"Gäufelden";"Leonberg";"9096";6443;4658;0,722955145118733;0,217042497831743;0,497031662269129;0,502968337730871;0,900505716798593;0,204375549692172;0,648856640281442;0,146767810026385
8115021;"08115021 Herrenberg, Stadt";"Herrenberg, Stadt";"Leonberg";"29939";21901;16202;0,739783571526414;0,236586580356031;0,486656200941915;0,513410601556498;0,884431677744748;0,185376933097298;0,616921072848124;0,197768796552991
8115022;"08115022 Hildrizhausen";"Hildrizhausen";"Boeblingen";"3527";2501;1842;0,736505397840864;0,204283360790774;0,501559398922597;0,498724128154239;0,896512616954919;0,203572441168132;0,637368868726963;0,159342217181741
8115024;"08115024 Holzgerlingen";"Holzgerlingen";"Boeblingen";"12156";8763;6379;0,727947050096999;0,226882745471878;0,490292859493254;0,509707140506746;0,89642974662718;0,204919381375452;0,61599210266535;0,179088515959197
8115028;"08115028 Leonberg, Stadt";"Leonberg, Stadt";"Leonberg";"44630";31052;22619;0,72842328996522;0,277946157960421;0,490320412278736;0,509679587721264;0,85030248711629;0,167667488236612;0,619986556128165;0,212345955635223
8115029;"08115029 Magstadt";"Magstadt";"Boeblingen";"8908";5678;3865;0,680697428672068;0,216933999474099;0,506735518634935;0,49315222272115;0,794903457566233;0,182644813650651;0,642231701841042;0,175011225864392
8115034;"08115034 Mötzingen";"Mötzingen";"Leonberg";"3610";2449;1685;0,688035933033891;0,186032510535822;0,486980609418283;0,513019390581717;0,862326869806094;0,21606648199446;0,637673130193906;0,146260387811634
8115037;"08115037 Nufringen";"Nufringen";"Leonberg";"5392";3965;3005;0,757881462799496;0,201748486886348;0,499258160237389;0,500556379821958;0,924517804154303;0,198442136498516;0,636127596439169;0,165244807121662
8115041;"08115041 Renningen, Stadt";"Renningen, Stadt";"Leonberg";"16720";11848;8777;0,740800135043889;0,271407168376167;0,49066985645933;0,50944976076555;0,879545454545455;0,191267942583732;0,629545454545455;0,179306220095694
8115042;"08115042 Rutesheim, Stadt";"Rutesheim, Stadt";"Leonberg";"9764";7025;5315;0,756583629893238;0,231939163498099;0,488119623105285;0,511880376894715;0,887238836542401;0,194182712003277;0,614604670217124;0,191212617779599
8115044;"08115044 Schönaich";"Schönaich";"Boeblingen";"9605";6774;4902;0,723649247121346;0,211645674168904;0,495054659031754;0,504841228526809;0,862988027069235;0,171681415929204;0,608433107756377;0,219781363872983
8115045;"08115045 Sindelfingen, Stadt";"Sindelfingen, Stadt";"Boeblingen";"60534";38519;24778;0,64326695916301;0,209929425202954;0,49317738791423;0,50682261208577;0,797997819407275;0,179006839131728;0,617752007136485;0,203241153731787
8115046;"08115046 Steinenbronn";"Steinenbronn";"Boeblingen";"6033";4094;2933;0,716414264777724;0,240702479338843;0,497928062323885;0,502071937676115;0,843693021713907;0,190286756174374;0,641471904525112;0,168241339300514
8115048;"08115048 Waldenbuch, Stadt";"Waldenbuch, Stadt";"Boeblingen";"8392";6013;4547;0,75619491102611;0,243826473859844;0,490467111534795;0,509532888465205;0,879766444232603;0,183865586272641;0,62523832221163;0,190896091515729
8115050;"08115050 Weil der Stadt, Stadt";"Weil der Stadt, Stadt";"Leonberg";"18313";13430;9605;0,715189873417722;0,262608145178308;0,491672582318572;0,508272811663845;0,89122481297439;0,183585431114509;0,616993392671872;0,199366570196036
8115051;"08115051 Weil im Schönbuch";"Weil im Schönbuch";"Boeblingen";"9711";6787;4907;0,722999852659496;0,231878088962109;0,489650911337658;0,510349088662342;0,892493049119555;0,20399546905571;0,610029863041911;0,185974667902379
8115052;"08115052 Weissach";"Weissach";"Leonberg";"7365";5513;4294;0,778886268819155;0,249528301886792;0,492600135777325;0,507399864222675;0,927766463000679;0,189002036659878;0,621724372029871;0,189273591310251
8115053;"08115053 Jettingen";"Jettingen";"Leonberg";"7457";5269;3699;0,702030745872082;0,168122270742358;0,489204774037817;0,510795225962183;0,89566849939654;0,207590183719995;0,635510258817219;0,156899557462787
8115054;"08115054 Grafenau";"Grafenau";"Leonberg";"6401";4710;3362;0,71380042462845;0,223426678711232;0,501171691923137;0,498984533666615;0,909389157944071;0,183096391188877;0,625683486955163;0,191376347445712
8116004;"08116004 Altbach";"Altbach";"Kirchheim";"5766";3947;2859;0,724347605776539;0,186906019007392;0,493929934096427;0,506416926812348;0,834720776968436;0,167533818938606;0,613250086715227;0,219562955254943
